name,pnd_true,pnd_false
"Jefferson County, AL",2450,1620
"Mobile County, AL",1514,1091
"Madison County, AL",2337,1635
"Montgomery County, AL",967,642
"Shelby County, AL",777,474
"Baldwin County, AL",1622,1334
"Tuscaloosa County, AL",577,362
"Lee County, AL",442,271
"Morgan County, AL",472,348
"Calhoun County, AL",338,243
"Houston County, AL",348,269
"Etowah County, AL",392,274
"Limestone County, AL",913,660
"Marshall County, AL",435,326
"Lauderdale County, AL",356,248
"Saint Clair County, AL",283,188
"Cullman County, AL",377,287
"Elmore County, AL",235,168
"Talladega County, AL",276,210
"De Kalb County, AL",201,148
"Walker County, AL",234,175
"Blount County, AL",176,129
"Russell County, AL",162,89
"Autauga County, AL",161,85
"Colbert County, AL",269,199
"Coffee County, AL",169,120
"Jackson County, AL",158,117
"Dale County, AL",136,95
"Chilton County, AL",147,109
"Tallapoosa County, AL",158,132
"Dallas County, AL",138,108
"Covington County, AL",178,156
"Escambia County, AL",108,83
"Chambers County, AL",71,42
"Pike County, AL",133,127
"Lawrence County, AL",86,56
"Franklin County, AL",72,51
"Marion County, AL",95,73
"Geneva County, AL",63,52
"Barbour County, AL",75,67
"Cherokee County, AL",131,110
"Winston County, AL",133,112
"Clarke County, AL",86,72
"Bibb County, AL",34,24
"Randolph County, AL",82,65
"Monroe County, AL",60,57
"Macon County, AL",42,34
"Marengo County, AL",44,37
"Pickens County, AL",25,19
"Butler County, AL",38,31
"Henry County, AL",67,54
"Fayette County, AL",63,52
"Washington County, AL",26,23
"Cleburne County, AL",31,20
"Hale County, AL",25,20
"Clay County, AL",34,22
"Lamar County, AL",21,19
"Crenshaw County, AL",28,26
"Choctaw County, AL",11,10
"Sumter County, AL",11,8
"Conecuh County, AL",37,33
"Wilcox County, AL",19,18
"Coosa County, AL",24,17
"Bullock County, AL",9,7
"Lowndes County, AL",9,7
"Perry County, AL",17,12
"Greene County, AL",11,7
"Anchorage Borough, AK",376,160
"Matanuska Susitna Borough, AK",394,257
"Fairbanks North Star Borough, AK",223,102
"Kenai Peninsula Borough, AK",288,205
"Juneau Borough, AK",34,21
"Bethel Borough, AK",18,16
"Ketchikan Gateway Borough, AK",32,26
"Kodiak Island Borough, AK",26,19
"North Slope Borough, AK",5,5
"Nome Borough, AK",1,1
"Valdez Cordova Borough, AK",32,27
"Sitka Borough, AK",20,15
"Kusilvak Borough, AK",1,1
"Northwest Arctic Borough, AK",2,1
"Southeast Fairbanks Borough, AK",52,42
"Yukon Koyukuk Borough, AK",9,9
"Prince of Wales-Hyder Borough, AK",31,28
"Aleutians West Borough, AK",1,1
"Dillingham Borough, AK",7,6
"Petersburg Borough, AK",8,5
"Aleutians East Borough, AK",1,1
"Hoonah-Angoon Borough, AK",4,3
"Denali Borough, AK",3,3
"Wrangell Borough, AK",14,14
"Haines Borough, AK",21,18
"Skagway Borough, AK",1,0
"Lake and Peninsula Borough, AK",2,2
"Bristol Bay Borough, AK",4,4
"Yakutat Borough, AK",2,1
"Pima County, AZ",3809,2645
"Maricopa County, AZ",14543,11925
"Pinal County, AZ",2694,2253
"Yavapai County, AZ",1401,1082
"Mohave County, AZ",1321,1013
"Yuma County, AZ",617,568
"Coconino County, AZ",393,303
"Cochise County, AZ",514,439
"Navajo County, AZ",397,352
"Apache County, AZ",141,129
"Gila County, AZ",392,332
"Santa Cruz County, AZ",246,208
"Graham County, AZ",94,69
